Ind;Cuenca;Nombre Estación;Provincia;x (Uso 30);y (Uso 30);Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
2142E;Duero;MILAGROS;BURGOS;442061;4603368;33.7;26.3;26.8;53.1;57.5;35.1;15.4;18.6;26.2;53.0;43.8;45.2
2146;Duero;QUINTANAMANVIRGO;BURGOS;420270;4622237;35.5;28.7;25.0;46.4;51.9;35.0;13.3;17.0;28.8;55.2;44.4;50.9
2147B;Duero;ROA DE DUERO (NIA);BURGOS;423088;4615822;33.3;26.8;24.3;44.8;54.2;30.3;14.2;14.4;27.0;52.5;43.7;47.5
2152;Duero;CEREZO DE ARRIBA;SEGOVIA;453164;4565507;52.8;43.3;38.9;62.5;71.7;41.0;18.0;23.7;34.6;69.9;65.3;59.2
2157;Duero;SEPULVEDA;SEGOVIA;437275;4572103;46.2;34.5;33.6;47.4;57.4;32.0;14.4;20.8;29.0;55.2;47.0;52.9
2162;Duero;SAN MIGUEL DE BERNUY;SEGOVIA;420304;4583527;42.2;34.6;29.5;52.0;60.8;34.8;17.7;18.8;28.3;59.9;51.1;52.7
2166B;Duero;PEÑAFIEL 'FABRICA QUESOS';VALLADOLID;406770;4605589;35.7;26.3;22.7;44.9;52.1;32.7;17.0;19.3;27.3;51.4;44.3;45.9
2166E;Duero;PIÑEL DE ABAJO;VALLADOLID;404339;4614258;42.9;32.9;28.6;53.1;63.4;32.8;16.2;22.0;32.1;60.2;51.2;53.7
2170;Duero;COGECES DEL MONTE;VALLADOLID;390074;4596416;43.3;33.6;29.0;53.8;61.0;30.3;13.4;17.3;31.6;61.1;57.2;60.3
2172;Duero;SARDON DE DUERO (RETUERTA);VALLADOLID;382499;4608258;37.5;27.1;22.4;44.7;58.5;33.9;13.6;18.6;25.9;51.8;50.5;52.2
2173;Duero;SARDON DE DUERO (GRANJA);VALLADOLID;381805;4608270;39.6;30.0;25.0;47.2;56.0;34.5;13.6;18.8;28.0;56.8;51.6;54.1
2174;Duero;SANTIBAÑEZ DE VALCORBA (VALI- MON);VALLADOLID;385984;4601724;41.2;31.8;26.1;50.1;61.5;32.9;11.3;17.9;29.9;60.0;53.6;55.0
2177;Duero;TUDELA DE DUERO;VALLADOLID;368082;4604806;37.9;28.1;22.6;43.1;50.5;31.3;11.8;18.7;29.0;55.4;49.7;50.5
2180;Duero;MATABUENA;SEGOVIA;436266;4549752;64.2;54.1;44.6;65.0;74.8;46.9;20.3;21.6;36.8;67.7;77.6;77.0
2186;Duero;TUREGANO;SEGOVIA;415346;4556596;42.4;37.2;30.2;53.2;59.9;31.8;20.8;16.9;31.8;56.9;51.7;52.1
2189;Duero;HONTALBILLA;SEGOVIA;406179;4577836;44.7;39.1;29.7;57.7;61.8;32.1;17.4;17.7;28.7;61.3;50.8;56.8
2195;Duero;LA HIGUERA;SEGOVIA;409085;4540479;38.2;30.0;28.8;45.8;62.4;34.3;16.4;20.5;28.5;58.1;47.1;45.6
2196;Duero;TORREIGLESIAS;SEGOVIA;413294;4550606;46.5;39.0;31.7;56.4;64.7;33.0;16.5;17.4;31.4;57.8;51.7;52.0
2198;Duero;CABAÑAS DE POLENDOS (EL QUIN- TANAR);SEGOVIA;408546;4544032;47.2;40.0;34.0;58.1;69.9;38.3;18.5;23.4;31.1;66.0;57.1;57.7
2199;Duero;CANTIMPALOS;SEGOVIA;402524;4547811;38.9;33.4;28.0;50.6;55.8;31.4;20.0;19.9;27.6;57.3;48.7;49.3
2206;Duero;FUENTEPELAYO;SEGOVIA;401345;4564174;44.1;37.9;29.9;57.3;64.2;35.6;18.0;17.4;27.6;58.6;49.2;54.5
